Week,Bitcoin hack: (Worldwide)
18/5/2014,3
25/5/2014,7
1/6/2014,4
8/6/2014,5
15/6/2014,4
22/6/2014,5
29/6/2014,6
6/7/2014,5
13/7/2014,3
20/7/2014,4
27/7/2014,3
3/8/2014,5
10/8/2014,5
17/8/2014,7
24/8/2014,5
31/8/2014,6
7/9/2014,8
14/9/2014,5
21/9/2014,5
28/9/2014,5
5/10/2014,5
12/10/2014,5
19/10/2014,5
26/10/2014,6
2/11/2014,7
9/11/2014,13
16/11/2014,7
23/11/2014,8
30/11/2014,9
7/12/2014,7
14/12/2014,7
21/12/2014,6
28/12/2014,7
4/1/2015,9
11/1/2015,7
18/1/2015,7
25/1/2015,5
1/2/2015,6
8/2/2015,5
15/2/2015,10
22/2/2015,6
1/3/2015,6
8/3/2015,7
15/3/2015,6
22/3/2015,7
29/3/2015,3
5/4/2015,4
12/4/2015,7
19/4/2015,7
26/4/2015,6
3/5/2015,5
10/5/2015,4
17/5/2015,6
24/5/2015,5
31/5/2015,7
7/6/2015,5
14/6/2015,6
21/6/2015,6
28/6/2015,5
5/7/2015,6
12/7/2015,6
19/7/2015,5
26/7/2015,6
2/8/2015,6
9/8/2015,6
16/8/2015,8
23/8/2015,8
30/8/2015,6
6/9/2015,6
13/9/2015,7
20/9/2015,7
27/9/2015,7
4/10/2015,5
11/10/2015,6
18/10/2015,6
25/10/2015,7
1/11/2015,6
8/11/2015,7
15/11/2015,9
22/11/2015,6
29/11/2015,7
6/12/2015,7
13/12/2015,7
20/12/2015,8
27/12/2015,10
3/1/2016,7
10/1/2016,9
17/1/2016,9
24/1/2016,10
31/1/2016,7
7/2/2016,8
14/2/2016,5
21/2/2016,9
28/2/2016,6
6/3/2016,7
13/3/2016,7
20/3/2016,8
27/3/2016,7
3/4/2016,7
10/4/2016,7
17/4/2016,8
24/4/2016,8
1/5/2016,10
8/5/2016,9
15/5/2016,7
22/5/2016,6
29/5/2016,8
5/6/2016,8
12/6/2016,8
19/6/2016,10
26/6/2016,9
3/7/2016,7
10/7/2016,8
17/7/2016,8
24/7/2016,8
31/7/2016,27
7/8/2016,14
14/8/2016,9
21/8/2016,9
28/8/2016,9
4/9/2016,8
11/9/2016,9
18/9/2016,9
25/9/2016,6
2/10/2016,8
9/10/2016,8
16/10/2016,8
23/10/2016,9
30/10/2016,7
6/11/2016,8
13/11/2016,8
20/11/2016,9
27/11/2016,10
4/12/2016,9
11/12/2016,9
18/12/2016,10
25/12/2016,10
1/1/2017,15
8/1/2017,13
15/1/2017,15
22/1/2017,13
29/1/2017,14
5/2/2017,13
12/2/2017,13
19/2/2017,11
26/2/2017,13
5/3/2017,15
12/3/2017,14
19/3/2017,13
26/3/2017,11
2/4/2017,11
9/4/2017,10
16/4/2017,11
23/4/2017,10
30/4/2017,12
7/5/2017,15
14/5/2017,20
21/5/2017,17
28/5/2017,13
4/6/2017,13
11/6/2017,17
18/6/2017,14
25/6/2017,17
2/7/2017,16
9/7/2017,14
16/7/2017,16
23/7/2017,15
30/7/2017,13
6/8/2017,16
13/8/2017,18
20/8/2017,19
27/8/2017,18
3/9/2017,16
10/9/2017,15
17/9/2017,16
24/9/2017,14
1/10/2017,14
8/10/2017,14
15/10/2017,16
22/10/2017,21
29/10/2017,20
5/11/2017,21
12/11/2017,17
19/11/2017,27
26/11/2017,39
3/12/2017,100
10/12/2017,64
17/12/2017,64
24/12/2017,36
31/12/2017,29
7/1/2018,30
14/1/2018,27
21/1/2018,25
28/1/2018,33
4/2/2018,22
11/2/2018,18
18/2/2018,17
25/2/2018,16
4/3/2018,16
11/3/2018,13
18/3/2018,12
25/3/2018,11
1/4/2018,10
8/4/2018,10
15/4/2018,9
22/4/2018,10
29/4/2018,9
6/5/2018,10
13/5/2018,8
20/5/2018,8
27/5/2018,10
3/6/2018,8
10/6/2018,25
17/6/2018,13
24/6/2018,7
1/7/2018,9
8/7/2018,9
15/7/2018,10
22/7/2018,7
29/7/2018,8
5/8/2018,9
12/8/2018,9
19/8/2018,9
26/8/2018,7
2/9/2018,8
9/9/2018,8
16/9/2018,10
23/9/2018,8
30/9/2018,8
7/10/2018,10
14/10/2018,9
21/10/2018,10
28/10/2018,8
4/11/2018,8
11/11/2018,8
18/11/2018,8
25/11/2018,7
2/12/2018,9
9/12/2018,6
16/12/2018,7
23/12/2018,7
30/12/2018,7
6/1/2019,10
13/1/2019,8
20/1/2019,7
27/1/2019,8
3/2/2019,8
10/2/2019,7
17/2/2019,9
24/2/2019,7
3/3/2019,6
10/3/2019,6
17/3/2019,10
24/3/2019,6
31/3/2019,7
7/4/2019,8
14/4/2019,7
21/4/2019,6
28/4/2019,7
5/5/2019,14
