Week,Bitcoin: (Worldwide)
18/5/2014,2
25/5/2014,3
1/6/2014,3
8/6/2014,3
15/6/2014,3
22/6/2014,2
29/6/2014,2
6/7/2014,2
13/7/2014,2
20/7/2014,2
27/7/2014,2
3/8/2014,2
10/8/2014,3
17/8/2014,3
24/8/2014,2
31/8/2014,2
7/9/2014,3
14/9/2014,2
21/9/2014,2
28/9/2014,2
5/10/2014,3
12/10/2014,2
19/10/2014,2
26/10/2014,2
2/11/2014,2
9/11/2014,2
16/11/2014,2
23/11/2014,2
30/11/2014,2
7/12/2014,2
14/12/2014,2
21/12/2014,3
28/12/2014,2
4/1/2015,3
11/1/2015,3
18/1/2015,2
25/1/2015,2
1/2/2015,2
8/2/2015,2
15/2/2015,2
22/2/2015,2
1/3/2015,2
8/3/2015,2
15/3/2015,2
22/3/2015,2
29/3/2015,2
5/4/2015,2
12/4/2015,2
19/4/2015,2
26/4/2015,2
3/5/2015,2
10/5/2015,2
17/5/2015,2
24/5/2015,2
31/5/2015,2
7/6/2015,2
14/6/2015,2
21/6/2015,2
28/6/2015,2
5/7/2015,2
12/7/2015,2
19/7/2015,2
26/7/2015,2
2/8/2015,2
9/8/2015,2
16/8/2015,2
23/8/2015,2
30/8/2015,2
6/9/2015,2
13/9/2015,2
20/9/2015,2
27/9/2015,2
4/10/2015,2
11/10/2015,2
18/10/2015,2
25/10/2015,3
1/11/2015,4
8/11/2015,3
15/11/2015,2
22/11/2015,2
29/11/2015,2
6/12/2015,4
13/12/2015,3
20/12/2015,3
27/12/2015,2
3/1/2016,3
10/1/2016,3
17/1/2016,3
24/1/2016,2
31/1/2016,2
7/2/2016,2
14/2/2016,3
21/2/2016,2
28/2/2016,2
6/3/2016,2
13/3/2016,2
20/3/2016,2
27/3/2016,2
3/4/2016,2
10/4/2016,2
17/4/2016,2
24/4/2016,3
1/5/2016,4
8/5/2016,3
15/5/2016,2
22/5/2016,2
29/5/2016,3
5/6/2016,3
12/6/2016,4
19/6/2016,4
26/6/2016,3
3/7/2016,3
10/7/2016,3
17/7/2016,3
24/7/2016,3
31/7/2016,3
7/8/2016,3
14/8/2016,2
21/8/2016,2
28/8/2016,2
4/9/2016,3
11/9/2016,3
18/9/2016,2
25/9/2016,2
2/10/2016,2
9/10/2016,3
16/10/2016,3
23/10/2016,3
30/10/2016,3
6/11/2016,3
13/11/2016,3
20/11/2016,3
27/11/2016,3
4/12/2016,3
11/12/2016,3
18/12/2016,4
25/12/2016,5
1/1/2017,7
8/1/2017,6
15/1/2017,4
22/1/2017,4
29/1/2017,4
5/2/2017,5
12/2/2017,4
19/2/2017,5
26/2/2017,6
5/3/2017,7
12/3/2017,6
19/3/2017,6
26/3/2017,5
2/4/2017,5
9/4/2017,5
16/4/2017,5
23/4/2017,5
30/4/2017,7
7/5/2017,10
14/5/2017,11
21/5/2017,19
28/5/2017,12
4/6/2017,12
11/6/2017,13
18/6/2017,11
25/6/2017,11
2/7/2017,9
9/7/2017,10
16/7/2017,12
23/7/2017,11
30/7/2017,15
6/8/2017,15
13/8/2017,20
20/8/2017,16
27/8/2017,17
3/9/2017,18
10/9/2017,21
17/9/2017,16
24/9/2017,13
1/10/2017,13
8/10/2017,19
15/10/2017,20
22/10/2017,21
29/10/2017,28
5/11/2017,29
12/11/2017,31
19/11/2017,28
26/11/2017,66
3/12/2017,91
10/12/2017,87
17/12/2017,100
24/12/2017,62
31/12/2017,48
7/1/2018,46
14/1/2018,58
21/1/2018,38
28/1/2018,41
4/2/2018,48
11/2/2018,27
18/2/2018,24
25/2/2018,19
4/3/2018,19
11/3/2018,19
18/3/2018,18
25/3/2018,18
1/4/2018,17
8/4/2018,16
15/4/2018,14
22/4/2018,14
29/4/2018,13
6/5/2018,13
13/5/2018,11
20/5/2018,12
27/5/2018,10
3/6/2018,10
10/6/2018,13
17/6/2018,10
24/6/2018,11
1/7/2018,10
8/7/2018,9
15/7/2018,11
22/7/2018,12
29/7/2018,10
5/8/2018,11
12/8/2018,11
19/8/2018,10
26/8/2018,10
2/9/2018,11
9/9/2018,10
16/9/2018,9
23/9/2018,9
30/9/2018,8
7/10/2018,8
14/10/2018,8
21/10/2018,8
28/10/2018,8
4/11/2018,8
11/11/2018,10
18/11/2018,14
25/11/2018,14
2/12/2018,11
9/12/2018,11
16/12/2018,11
23/12/2018,10
30/12/2018,9
6/1/2019,9
13/1/2019,8
20/1/2019,7
27/1/2019,7
3/2/2019,8
10/2/2019,7
17/2/2019,8
24/2/2019,8
3/3/2019,7
10/3/2019,7
17/3/2019,7
24/3/2019,7
31/3/2019,12
7/4/2019,10
14/4/2019,9
21/4/2019,9
28/4/2019,9
5/5/2019,11
