date,value
11/5/2019,37513711
10/5/2019,37439814
9/5/2019,37371043
8/5/2019,37290470
7/5/2019,37188347
6/5/2019,37066852
5/5/2019,36995377
4/5/2019,36917843
3/5/2019,36813669
2/5/2019,36740759
1/5/2019,36646882
30/4/2019,36566166
29/4/2019,36465812
28/4/2019,36376473
27/4/2019,36292480
26/4/2019,36187524
25/4/2019,36102750
24/4/2019,36006873
23/4/2019,35905549
22/4/2019,35845342
21/4/2019,35789267
20/4/2019,35729730
19/4/2019,35680549
18/4/2019,35606050
17/4/2019,35542072
16/4/2019,35509713
15/4/2019,35458867
14/4/2019,35417184
13/4/2019,35385785
12/4/2019,35316460
11/4/2019,35256896
10/4/2019,35179532
9/4/2019,35090021
8/4/2019,35018635
7/4/2019,34973552
6/4/2019,34939536
5/4/2019,34893526
4/4/2019,34845001
3/4/2019,34795309
2/4/2019,34708834
1/4/2019,34660975
31/3/2019,34627637
30/3/2019,34584690
29/3/2019,34549831
28/3/2019,34518557
27/3/2019,34487434
26/3/2019,34468363
25/3/2019,34440956
24/3/2019,34420035
23/3/2019,34400960
22/3/2019,34377269
21/3/2019,34344857
20/3/2019,34325345
19/3/2019,34294094
18/3/2019,34260767
17/3/2019,34223905
16/3/2019,34201486
15/3/2019,34187178
14/3/2019,34160884
13/3/2019,34132002
12/3/2019,34104676
11/3/2019,34085840
10/3/2019,34061861
9/3/2019,34035621
8/3/2019,34016834
7/3/2019,33974721
6/3/2019,33949463
5/3/2019,33930579
4/3/2019,33899574
3/3/2019,33883297
2/3/2019,33840798
1/3/2019,33780967
28/2/2019,33733170
27/2/2019,33685182
26/2/2019,33629564
25/2/2019,33590954
24/2/2019,33549518
23/2/2019,33513777
22/2/2019,33481781
21/2/2019,33419367
20/2/2019,33390979
19/2/2019,33348715
18/2/2019,33321937
17/2/2019,33294132
16/2/2019,33268757
15/2/2019,33246763
14/2/2019,33209938
13/2/2019,33196926
12/2/2019,33176105
11/2/2019,33139376
10/2/2019,33121583
9/2/2019,33092413
8/2/2019,33059746
7/2/2019,33032699
6/2/2019,33001911
5/2/2019,32980756
4/2/2019,32947450
3/2/2019,32919912
2/2/2019,32883937
1/2/2019,32865601
31/1/2019,32816146
30/1/2019,32778119
29/1/2019,32740835
28/1/2019,32710036
27/1/2019,32688146
26/1/2019,32662113
25/1/2019,32628373
24/1/2019,32613257
23/1/2019,32584478
22/1/2019,32565008
